codigo,placa,linha,latitude,longitude,dataHora,velocidade,id_migracao_trajeto,sentido,trajeto,timestamp_captura
86804,LQG3863,12,-23.00179333333333,-43.36510666666667,2021-02-24 12:48:28,0,121,volta,12 - ALVORADA X PINGO D'AGUA ( EXPRESSO ),2021-02-24 17:17:36.734128
50304,KRN8J05,5807A1,-22.919896666666666,-43.607778333333336,2020-07-16 13:55:11,0,124,ida,19 - PINGO D'AGUA X SALVADOR ALLENDE ( EXPRESSO ),2021-02-24 17:17:36.734128
13426,LSI5977,10,-23.001123333333332,-43.367473333333336,2021-02-24 11:44:29,0,107,volta,10 - ALVORADA X SANTA CRUZ ( EXPRESSO ),2021-02-24 17:17:36.734128
47013,LMB3786,51,-22.965455,-43.391976666666665,2021-02-17 21:13:59,0,3551,ida,51 - T. RECREIO X VILA MILITAR (PARADOR),2021-02-24 17:17:36.734128
47031,KYW5240,22,-22.964488333333332,-43.39187166666667,2021-02-15 19:32:18,0,8970,ida,22- ALVORADA X J. OCEÂNICO (PARADOR),2021-02-24 17:17:36.734128
30533,KWO8120,10,-23.006395,-43.314281666666666,2021-02-24 13:01:48,0,106,ida,10- SANTA CRUZ X ALVORADA ( EXPRESSO ),2021-02-24 17:17:36.734128
86821,LQG3866,0,-22.92000833333333,-43.60776666666667,2020-06-16 17:26:29,0,,,,2021-02-24 17:17:36.734128
47002,LRH8941,10,-22.877726666666668,-43.336553333333335,2021-02-24 13:16:36,0,106,ida,10- SANTA CRUZ X ALVORADA ( EXPRESSO ),2021-02-24 17:17:36.734128
LUH4150 PKP / T. I,LUH4150,0,-22.9710323,-43.4004794,2021-02-10 18:39:47,0,,,,2021-02-24 17:17:36.734128
47027,KRR2119,18,-22.965146666666666,-43.39192,2021-02-24 13:14:49,0,3626,ida,18 - RECREIO SHOPPING X JARDIM OCEÂNICO ( EXPRESSO ),2021-02-24 17:17:36.734128
44734,LSG9591,11N,-22.91959333333333,-43.607076666666664,2021-02-24 13:15:18,0,104,ida,11N - SANTA CRUZ X ALVORADA,2021-02-24 17:17:36.734128
30513,KYL8596,37,-22.973241666666667,-43.38592,2021-02-13 10:54:36,51,9324,ida,37 - Tanque x Alvorada,2021-02-24 17:17:36.734128
86832,LQH5492,13,-23.000916666666665,-43.36743333333333,2021-02-24 13:16:38,0,113,volta,13- ALVORADA X  MATO ALTO ( EXPRESSO ),2021-02-24 17:17:36.734128
86892,KRQ6880,20,-23.003446666666665,-43.42532166666667,2021-02-24 13:16:42,0,122,ida,20 - SANTA CRUZ X SALVADOR ALLENDE ( EXPRESSO ),2021-02-24 17:17:36.734128
44736,LMH4611,14,-23.012526666666666,-43.458895,2021-02-24 13:16:44,0,138,ida,14 - CAMPO GRANDE X SALVADOR ALLENDE,2021-02-24 17:17:36.734128
30508,KYM4572,42A,-22.854791666666667,-43.252118333333335,2021-02-24 12:59:08,0,9447,ida,42A - GALEÃO X MADUREIRA (PARADOR),2021-02-24 17:17:36.734128
12719,KRP7035,10,-22.91623,-43.68306666666667,2021-02-24 13:14:19,15,106,ida,10- SANTA CRUZ X ALVORADA ( EXPRESSO ),2021-02-24 17:17:36.734128
86840,KOS9769,12,-22.91983,-43.60757,2021-02-24 12:59:11,0,120,ida,12 - PINGO D'AGUA X ALVORADA ( EXPRESSO ),2021-02-24 17:17:36.734128
30538,KXE7719,53B,-22.960945,-43.39178833333333,2021-02-24 00:16:22,29,9432,ida,53B - SULACAP X JD. OCEANICO (PARADOR),2021-02-24 17:17:36.734128
13412,KPY9734,20,-23.000563333333332,-43.3645,2021-02-24 12:02:53,0,122,ida,20 - SANTA CRUZ X SALVADOR ALLENDE ( EXPRESSO ),2021-02-24 17:17:36.734128
50309,KPN6B05,LECD33,-23.006608333333332,-43.43660666666667,2021-02-24 13:15:17,39,8964,ida,LECD33- SANTA CRUZ X CAMPO GRANDE,2021-02-24 17:17:36.734128
90459,KXB8152,35A,-22.84435,-43.238455,2021-02-22 05:31:39,42,9430,ida,35A - MADUREIRA X JARDIM OCEÂNICO,2021-02-24 17:17:36.734128
12706,KXB8938,46,-22.877233333333333,-43.33596333333333,2021-02-24 13:05:40,0,145,volta,46 - ALVORADA X PENHA ( EXPRESSO ),2021-02-24 17:17:36.734128
47025,KXE8652,51,-23.019636666666667,-43.48757,2021-02-24 08:42:54,32,3551,ida,51 - T. RECREIO X VILA MILITAR (PARADOR),2021-02-24 17:17:36.734128
